0,781
0,669
1,259
1,783
1,452
2,121
2,333
3,696
3,535
3,757
4,138
4,687
4,283
5,704
5,81
6,623
6,342
6,233
7,94
7,139
7,656
8,426
8,554
9,558
9,788
9,478
10,275
10,476
10,637
11,337
12,141
12,95
13,215
14,81
14,732
15,554
16,66
16,637
16,69
16,114
17,362
17,567
17,742
18,710
18,158
19,739
19,91
19,355
19,222
20,520
20,692
20,133
20,479
21,254
22,626
22,519
22,380
23,12
24,373
25,691
25,219
25,375
26,389
26,96
27,625
27,111
27,578
27,276
28,579
28,397
28,7
28,484
29,179
29,278
29,793
29,585
30,474
30,499
30,446
30,255
31,379
32,424
32,392
33,696
33,625
33,692
33,396
34,769
35,388
36,693
36,134
37,424
37,364
38,454
38,158
38,585
38,253
39,748
40,390
40,160
41,648
41,110
41,667
42,745
42,780
43,551
43,188
43,8
43,440
44,472
44,144
44,602
45,314
46,389
46,728
46,404
47,293
47,76
47,133
48,320
48,427
48,426
49,780
49,212
50,75
50,238
50,774
51,570
51,38
52,269
52,712
53,521
54,665
54,658
55,744
55,13
56,49
56,656
56,484
57,460
57,347
57,51
57,216
58,210
59,795
59,757
59,323
59,273
60,403
60,63
60,634
60,559
61,731
61,141
62,416
62,251
62,60
62,114
63,347
63,401
64,582
65,166
65,680
65,318
66,253
66,320
67,794
67,120
67,37
68,656
68,378
69,20
69,188
69,117
69,76
70,120
70,557
71,556
71,256
71,544
72,108
73,485
73,65
74,208
75,657
75,147
75,108
75,479
76,34
76,607
77,637
77,272
78,376
78,107
78,639
78,283
79,30
79,452
79,199
79,74
80,321
80,435
80,279
80,3
81,750
82,471
83,124
83,128
83,763
83,215
84,585
84,258
84,332
85,162
86,34
86,149
87,546
87,391
87,38
87,617
88,703
88,445
88,94
89,538
89,730
89,655
89,137
90,59
90,738
90,242
91,79
91,534
91,779
92,544
92,291
92,693
93,76
93,419
93,94
93,161
94,63
94,774
94,401
94,622
95,310
95,743
95,538
95,267
96,69
96,800
96,79
97,759
97,661
97,151
97,396
98,77
98,621
98,348
98,649
99,129
100,608
100,17
100,371
100,780
101,549
101,353
102,441
103,581
104,746
104,583
104,477
104,609
105,111
106,237
106,596
106,447
106,490
