1,Il Forno,1,TRUE,11:00:00 AM,9:00:00 PM,84
2,Cafe,1,TRUE,7:30:00 AM,9:00:00 PM,32
3,Skillet,1,TRUE,9:00:00 AM,9:00:00 PM,45
4,Sazon,1,TRUE,11:00:00 AM,9:00:00 PM,55
5,JB's Roasts and Chops,1,TRUE,11:00:00 AM,9:00:00 PM,74
6,Panera,0,FALSE,7:00:00 AM,9:00:00 PM,95
7,The Devil's Krafthouse,0,TRUE,11:00:00 AM,11:59:00 PM,3
8,Tandoor,1,TRUE,11:00:00 AM,9:00:00 PM,25
9,Farmstead and Sprout,1,TRUE,11:00:00 AM,9:00:00 PM,60
10,Ginger and Soy,1,TRUE,11:00:00 AM,9:00:00 PM,79
11,Gyotaku,1,TRUE,11:00:00 AM,9:00:00 PM,50
12,It's Thyme,2,FALSE,11:00:00 AM,3:00:00 PM,12
